id,producto,valor_u,cantidad,total,dia_semana
660,Amper Speed,20,4,80,Sabado
661,Amper Calaca,20,5,100,Sabado
662,Amper MangoLoco,20,5,100,Domingo
663,Amper Blueberry,20,2,40,Sabado
664,Amper Calaca,20,1,20,Jueves
665,Amper Original,20,5,100,Sabado
666,Amper Speed,20,5,100,Jueves
667,Amper Original,20,2,40,Sabado
668,Amper Calaca,20,5,100,Jueves
669,Amper MangoLoco,20,1,20,Sabado
670,Amper MangoLoco,20,2,40,Miercoles
671,Amper Original,20,2,40,Domingo
672,Amper Blueberry,20,1,20,Domingo
673,Amper MangoLoco,20,3,60,Lunes
674,Amper Blueberry,20,3,60,Sabado
675,Amper MangoLoco,20,5,100,Domingo
676,Amper Original,20,5,100,Sabado
677,Amper Blueberry,20,5,100,Sabado
678,Amper Blueberry,20,3,60,Miercoles
679,Amper Calaca,20,3,60,Domingo
680,Amper Original,20,2,40,Sabado
681,Amper Blueberry,20,1,20,Sabado
682,Amper Blueberry,20,2,40,Lunes
683,Amper Blueberry,20,2,40,Viernes
684,Amper MangoLoco,20,2,40,Lunes
685,Amper Speed,20,3,60,Sabado
686,Amper Original,20,5,100,Sabado
687,Amper Blueberry,20,2,40,Jueves
688,Amper Blueberry,20,4,80,Viernes
689,Amper Original,20,5,100,Miercoles
690,Amper MangoLoco,20,5,100,Domingo
691,Amper Original,20,2,40,Sabado
692,Amper MangoLoco,20,1,20,Domingo
693,Amper MangoLoco,20,1,20,Sabado
694,Amper Blueberry,20,2,40,Viernes
695,Amper Original,20,3,60,Domingo
696,Amper Calaca,20,2,40,Martes
697,Amper Original,20,5,100,Lunes
698,Amper MangoLoco,20,5,100,Domingo
699,Amper Speed,20,4,80,Martes
700,Amper MangoLoco,20,4,80,Jueves
701,Amper Original,20,2,40,Sabado
702,Amper MangoLoco,20,5,100,Sabado
703,Amper Blueberry,20,5,100,Lunes
704,Amper Blueberry,20,3,60,Viernes
705,Amper Blueberry,20,4,80,Lunes
706,Amper Original,20,4,80,Viernes
707,Amper Calaca,20,1,20,Lunes
708,Amper Speed,20,5,100,Sabado
709,Amper Blueberry,20,2,40,Sabado
710,Amper Original,20,3,60,Viernes
711,Amper Original,20,3,60,Viernes
712,Amper Blueberry,20,4,80,Domingo
713,Amper Calaca,20,3,60,Martes
714,Amper Original,20,1,20,Domingo
715,Amper MangoLoco,20,3,60,Sabado
716,Amper Calaca,20,1,20,Sabado
717,Amper Blueberry,20,3,60,Viernes
718,Amper Blueberry,20,5,100,Sabado
719,Amper Original,20,5,100,Miercoles
720,Amper Blueberry,20,3,60,Viernes
721,Amper Blueberry,20,4,80,Sabado
722,Amper Blueberry,20,3,60,Sabado
723,Amper Blueberry,20,2,40,Sabado
724,Amper MangoLoco,20,3,60,Sabado
725,Amper Blueberry,20,3,60,Viernes
726,Amper Original,20,3,60,Sabado
727,Amper MangoLoco,20,5,100,Domingo
728,Amper Blueberry,20,3,60,Viernes
729,Amper MangoLoco,20,1,20,Miercoles
730,Amper Blueberry,20,1,20,Miercoles
731,Amper Original,20,5,100,Martes
732,Amper Blueberry,20,2,40,Domingo
733,Amper Calaca,20,4,80,Jueves
734,Amper Blueberry,20,4,80,Sabado
735,Amper Blueberry,20,1,20,Domingo
736,Amper Blueberry,20,4,80,Domingo
737,Amper MangoLoco,20,5,100,Miercoles
738,Amper MangoLoco,20,1,20,Martes
739,Amper Calaca,20,5,100,Viernes
740,Amper MangoLoco,20,5,100,Jueves
741,Amper Calaca,20,1,20,Jueves
742,Amper MangoLoco,20,1,20,Sabado
743,Amper MangoLoco,20,3,60,Domingo
744,Amper MangoLoco,20,2,40,Domingo
745,Amper Blueberry,20,3,60,Domingo
746,Amper Blueberry,20,5,100,Martes
747,Amper Blueberry,20,4,80,Sabado
748,Amper MangoLoco,20,1,20,Sabado
749,Amper Calaca,20,1,20,Domingo
750,Amper Original,20,1,20,Domingo
751,Amper Original,20,5,100,Sabado
752,Amper Original,20,1,20,Martes
753,Amper Original,20,5,100,Martes
754,Amper MangoLoco,20,4,80,Sabado
755,Amper Original,20,3,60,Domingo
756,Amper Original,20,5,100,Sabado
757,Amper Calaca,20,5,100,Lunes
758,Amper Blueberry,20,1,20,Sabado
759,Amper Blueberry,20,2,40,Sabado
760,Amper MangoLoco,20,2,40,Martes
761,Amper MangoLoco,20,5,100,Martes
762,Amper Original,20,5,100,Martes
763,Amper MangoLoco,20,3,60,Sabado
764,Amper MangoLoco,20,2,40,Lunes
765,Amper Blueberry,20,1,20,Viernes
766,Amper Calaca,20,2,40,Domingo
767,Amper MangoLoco,20,3,60,Miercoles
768,Amper Blueberry,20,2,40,Miercoles
769,Amper MangoLoco,20,1,20,Lunes
770,Amper Blueberry,20,2,40,Domingo
771,Amper Blueberry,20,1,20,Lunes
772,Amper Blueberry,20,5,100,Domingo
773,Amper Blueberry,20,4,80,Sabado
774,Amper Blueberry,20,5,100,Sabado
775,Amper Speed,20,2,40,Domingo
776,Amper Original,20,5,100,Viernes
777,Amper MangoLoco,20,4,80,Sabado
778,Amper MangoLoco,20,3,60,Lunes
779,Amper Original,20,3,60,Miercoles
780,Amper MangoLoco,20,3,60,Miercoles
781,Amper Blueberry,20,2,40,Domingo
782,Amper MangoLoco,20,2,40,Viernes
783,Amper Blueberry,20,3,60,Sabado
784,Amper MangoLoco,20,2,40,Domingo
785,Amper MangoLoco,20,3,60,Sabado
786,Amper Blueberry,20,5,100,Domingo
787,Amper Original,20,5,100,Domingo
788,Amper Original,20,2,40,Sabado
789,Amper MangoLoco,20,3,60,Martes
790,Amper MangoLoco,20,1,20,Jueves
791,Amper Original,20,4,80,Lunes
792,Amper Original,20,1,20,Lunes
793,Amper Original,20,4,80,Jueves
794,Amper Calaca,20,4,80,Lunes
795,Amper MangoLoco,20,1,20,Viernes
796,Amper Speed,20,4,80,Martes
797,Amper MangoLoco,20,4,80,Miercoles
798,Amper Blueberry,20,5,100,Domingo
799,Amper Blueberry,20,5,100,Sabado
800,Amper Blueberry,20,5,100,Miercoles
801,Amper Calaca,20,2,40,Miercoles
802,Amper Original,20,3,60,Viernes
803,Amper Blueberry,20,2,40,Domingo
804,Amper Blueberry,20,4,80,Sabado
805,Amper Calaca,20,5,100,Viernes
806,Amper Blueberry,20,2,40,Sabado
807,Amper Calaca,20,2,40,Sabado
808,Amper Original,20,5,100,Jueves
809,Amper Blueberry,20,1,20,Miercoles
810,Amper MangoLoco,20,1,20,Sabado
811,Amper Blueberry,20,2,40,Lunes
812,Amper Original,20,2,40,Miercoles
813,Amper Blueberry,20,1,20,Jueves
814,Amper Speed,20,4,80,Sabado
815,Amper Blueberry,20,2,40,Viernes
816,Amper Blueberry,20,2,40,Jueves
817,Amper Original,20,5,100,Domingo
818,Amper Original,20,5,100,Martes
819,Amper Original,20,4,80,Sabado
820,Amper Blueberry,20,1,20,Lunes
821,Amper MangoLoco,20,1,20,Domingo
822,Amper Speed,20,2,40,Miercoles
823,Amper Original,20,1,20,Martes
824,Amper Blueberry,20,5,100,Lunes
825,Amper Original,20,2,40,Miercoles
826,Amper Original,20,3,60,Viernes
827,Amper Calaca,20,2,40,Domingo
828,Amper MangoLoco,20,2,40,Jueves
829,Amper Calaca,20,2,40,Domingo
830,Amper Original,20,3,60,Jueves
831,Amper MangoLoco,20,2,40,Sabado
832,Amper Blueberry,20,3,60,Lunes
833,Amper Original,20,3,60,Miercoles
834,Amper Original,20,3,60,Domingo
835,Amper Blueberry,20,1,20,Sabado
836,Amper Original,20,1,20,Lunes
837,Amper MangoLoco,20,3,60,Miercoles
838,Amper Speed,20,4,80,Domingo
839,Amper Blueberry,20,2,40,Martes
840,Amper Blueberry,20,3,60,Lunes
841,Amper MangoLoco,20,3,60,Miercoles
842,Amper Calaca,20,2,40,Lunes
843,Amper Original,20,3,60,Domingo
844,Amper Calaca,20,3,60,Jueves
845,Amper Blueberry,20,5,100,Viernes
846,Amper Blueberry,20,1,20,Viernes
847,Amper MangoLoco,20,5,100,Domingo
848,Amper Original,20,2,40,Domingo
849,Amper MangoLoco,20,2,40,Domingo
850,Amper Blueberry,20,1,20,Sabado
851,Amper Original,20,4,80,Martes
852,Amper Original,20,4,80,Sabado
853,Amper Original,20,4,80,Viernes
854,Amper Original,20,5,100,Domingo
855,Amper Blueberry,20,2,40,Sabado
856,Amper Blueberry,20,3,60,Sabado
857,Amper Blueberry,20,5,100,Domingo
858,Amper MangoLoco,20,2,40,Sabado
859,Amper Original,20,5,100,Sabado
860,Amper Speed,20,4,80,Sabado
861,Amper Blueberry,20,5,100,Domingo
862,Amper Speed,20,4,80,Sabado
863,Amper Blueberry,20,2,40,Lunes
864,Amper Blueberry,20,1,20,Martes
865,Amper Blueberry,20,5,100,Miercoles
866,Amper Blueberry,20,4,80,Lunes
867,Amper Blueberry,20,5,100,Sabado
868,Amper MangoLoco,20,2,40,Sabado
869,Amper Speed,20,5,100,Martes
870,Amper Calaca,20,2,40,Martes
871,Amper Speed,20,1,20,Domingo
872,Amper Blueberry,20,4,80,Viernes
873,Amper Calaca,20,3,60,Sabado
874,Amper Calaca,20,1,20,Sabado
875,Amper Blueberry,20,2,40,Domingo
876,Amper Original,20,2,40,Sabado
877,Amper Blueberry,20,5,100,Domingo
878,Amper Blueberry,20,4,80,Viernes
879,Amper MangoLoco,20,3,60,Domingo
880,Amper Blueberry,20,4,80,Domingo
881,Amper Speed,20,3,60,Sabado
882,Amper Original,20,3,60,Miercoles
883,Amper Blueberry,20,3,60,Domingo
884,Amper MangoLoco,20,1,20,Martes
885,Amper Original,20,1,20,Viernes
886,Amper Blueberry,20,3,60,Domingo
887,Amper Calaca,20,1,20,Domingo
888,Amper MangoLoco,20,4,80,Sabado
889,Amper Original,20,5,100,Sabado
890,Amper Blueberry,20,3,60,Miercoles
891,Amper Blueberry,20,5,100,Lunes
892,Amper Original,20,3,60,Sabado
893,Amper Original,20,2,40,Jueves
894,Amper Original,20,3,60,Martes
895,Amper MangoLoco,20,5,100,Miercoles
896,Amper Original,20,2,40,Domingo
897,Amper Blueberry,20,4,80,Lunes
898,Amper Blueberry,20,2,40,Sabado
899,Amper MangoLoco,20,4,80,Viernes
900,Amper MangoLoco,20,4,80,Sabado
901,Amper Original,20,3,60,Sabado
902,Amper MangoLoco,20,4,80,Viernes
903,Amper Blueberry,20,4,80,Domingo
904,Amper Blueberry,20,3,60,Jueves
905,Amper MangoLoco,20,2,40,Jueves
906,Amper MangoLoco,20,4,80,Martes
907,Amper Speed,20,4,80,Sabado
908,Amper MangoLoco,20,1,20,Lunes
909,Amper Speed,20,1,20,Domingo
910,Amper Blueberry,20,1,20,Martes
911,Amper MangoLoco,20,3,60,Domingo
912,Amper Original,20,3,60,Sabado
913,Amper Blueberry,20,4,80,Viernes
914,Amper MangoLoco,20,1,20,Miercoles
915,Amper Blueberry,20,4,80,Domingo
916,Amper Original,20,4,80,Sabado
917,Amper Blueberry,20,4,80,Sabado
918,Amper MangoLoco,20,2,40,Domingo
919,Amper Original,20,4,80,Domingo
920,Amper Blueberry,20,2,40,Sabado
921,Amper Blueberry,20,5,100,Sabado
922,Amper Speed,20,2,40,Martes
923,Amper Calaca,20,4,80,Domingo
924,Amper Calaca,20,2,40,Jueves
925,Amper Blueberry,20,5,100,Sabado
926,Amper MangoLoco,20,3,60,Sabado
927,Amper Blueberry,20,3,60,Sabado
928,Amper Calaca,20,1,20,Martes
929,Amper Original,20,1,20,Viernes
930,Amper Speed,20,4,80,Miercoles
931,Amper Blueberry,20,3,60,Domingo
932,Amper Speed,20,4,80,Miercoles
933,Amper MangoLoco,20,5,100,Sabado
934,Amper MangoLoco,20,1,20,Sabado
935,Amper Calaca,20,1,20,Viernes
936,Amper Blueberry,20,3,60,Sabado
937,Amper Original,20,3,60,Viernes
938,Amper Blueberry,20,4,80,Domingo
939,Amper MangoLoco,20,1,20,Domingo
940,Amper MangoLoco,20,2,40,Sabado
941,Amper Original,20,2,40,Lunes
942,Amper Original,20,3,60,Martes
943,Amper Original,20,3,60,Martes
944,Amper Blueberry,20,3,60,Sabado
945,Amper MangoLoco,20,4,80,Sabado
946,Amper Calaca,20,3,60,Viernes
947,Amper MangoLoco,20,4,80,Lunes
948,Amper Blueberry,20,5,100,Sabado
949,Amper Original,20,1,20,Viernes
950,Amper Original,20,5,100,Jueves
951,Amper Speed,20,2,40,Viernes
952,Amper Blueberry,20,4,80,Domingo
953,Amper Original,20,2,40,Domingo
954,Amper Speed,20,1,20,Sabado
955,Amper Calaca,20,5,100,Miercoles
956,Amper MangoLoco,20,4,80,Viernes
957,Amper Blueberry,20,1,20,Domingo
958,Amper Blueberry,20,4,80,Sabado
959,Amper Speed,20,3,60,Domingo
960,Amper Calaca,20,4,80,Viernes
961,Amper Original,20,5,100,Viernes
962,Amper MangoLoco,20,3,60,Domingo
963,Amper Original,20,5,100,Lunes
964,Amper Calaca,20,5,100,Viernes
965,Amper Original,20,4,80,Viernes
966,Amper Original,20,4,80,Viernes
967,Amper Calaca,20,5,100,Miercoles
968,Amper Calaca,20,2,40,Lunes
969,Amper MangoLoco,20,1,20,Sabado
970,Amper Blueberry,20,4,80,Martes
971,Amper Blueberry,20,1,20,Sabado
972,Amper Original,20,2,40,Miercoles
973,Amper Original,20,3,60,Sabado
974,Amper Original,20,4,80,Domingo
975,Amper Original,20,2,40,Domingo
976,Amper MangoLoco,20,3,60,Sabado
977,Amper Blueberry,20,3,60,Domingo
978,Amper Blueberry,20,4,80,Martes
979,Amper Blueberry,20,5,100,Domingo
980,Amper Calaca,20,1,20,Lunes
981,Amper Speed,20,4,80,Domingo
982,Amper MangoLoco,20,2,40,Miercoles
983,Amper Original,20,3,60,Sabado
984,Amper Blueberry,20,3,60,Miercoles
985,Amper MangoLoco,20,1,20,Martes
986,Amper MangoLoco,20,5,100,Miercoles
987,Amper MangoLoco,20,3,60,Martes
988,Amper Blueberry,20,5,100,Lunes
989,Amper Original,20,5,100,Lunes
990,Amper Blueberry,20,3,60,Sabado
991,Amper Speed,20,1,20,Domingo
992,Amper Speed,20,2,40,Sabado
993,Amper MangoLoco,20,3,60,Miercoles
994,Amper Original,20,5,100,Miercoles
995,Amper Blueberry,20,4,80,Sabado
996,Amper Blueberry,20,1,20,Domingo
997,Amper MangoLoco,20,3,60,Domingo
998,Amper Original,20,1,20,Sabado
999,Amper Original,20,5,100,Sabado
1000,Amper Speed,20,5,100,Lunes
